survived,pclass,wspd,lfwa,tprc,sibsp,fare,parch
0,3.0,22.0,44.0,23.75,1.0,7.25,0.0
1,1.0,38.0,76.0,215.8499,1.0,71.2833,0.0
1,3.0,26.0,52.0,25.775,0.0,7.925,0.0
1,2.2959086584205517,45.0,70.0,161.3,0.5134099616858238,53.1,0.0
0,3.0,235.0,70.0,26.15,0.0,8.05,0.36084452975047987
0,3.0,64.71582346609257,60.02368137782562,27.3749,0.0,32.11631225868726,0.0
0,1.0,54.0,108.0,157.58749999999998,0.0,51.8625,0.0
0,3.0,202.0,4.0,65.225,3.0,21.075,1.0
1,3.0,27.0,54.0,35.3999,0.0,11.1333,2.0
1,2.0,14.0,28.0,92.2124,1.0,32.11631225868726,0.0
1,3.0,4.0,8.0,52.1,1.0,16.7,1.0
1,2.2959086584205517,258.0,116.0,81.65,0.0,26.55,0.0
0,3.0,20.0,40.0,26.15,0.5134099616858238,8.05,0.0
0,3.0,39.0,78.0,95.825,1.0,32.11631225868726,5.0
0,3.0,14.0,28.0,25.5626,0.5134099616858238,7.8542,0.0
1,2.0,55.0,110.0,50.0,0.0,16.0,0.0
0,3.0,2.0,4.0,89.375,4.0,29.125,1.0
1,2.0,64.71582346609257,60.02368137782562,41.0,0.0,13.0,0.36084452975047987
0,3.0,31.0,62.0,56.0,1.0,18.0,0.0
1,3.0,64.71582346609257,60.02368137782562,23.675,0.0,7.225,0.0
0,2.0,45.0,70.0,80.0,0.0,26.0,0.0
1,2.0,34.0,68.0,41.0,0.0,13.0,0.0
1,3.0,25.0,30.0,26.0876,0.0,8.0292,0.0
1,1.0,28.0,56.0,108.5,0.0,35.5,0.0
0,3.0,8.0,16.0,65.225,3.0,21.075,1.0
1,3.0,38.0,76.0,96.1625,1.0,31.3875,5.0
0,3.0,64.71582346609257,60.02368137782562,23.675,0.0,7.225,0.0
0,1.0,219.0,38.0,791.0,0.5134099616858238,263.0,2.0
1,3.0,64.71582346609257,60.02368137782562,25.6376,0.0,7.8792,0.0
0,3.0,64.71582346609257,60.02368137782562,25.6874,0.5134099616858238,7.8958,0.0
0,1.0,240.0,80.0,85.1624,0.0,27.7208,0.0
1,1.0,64.71582346609257,60.02368137782562,441.5624,0.5134099616858238,32.11631225868726,0.36084452975047987
1,3.0,64.71582346609257,60.02368137782562,25.25,0.0,7.75,0.0
0,2.0,266.0,132.0,33.5,0.0,10.5,0.0
0,1.0,38.0,56.0,248.5124,1.0,82.1708,0.36084452975047987
0,1.0,52.0,84.0,158.0,1.0,52.0,0.0
1,3.0,64.71582346609257,60.02368137782562,23.6876,0.0,7.2292,0.0
0,3.0,221.0,42.0,26.15,0.0,8.05,0.0
0,3.0,18.0,36.0,56.0,2.0,18.0,0.36084452975047987
1,3.0,14.0,28.0,35.7251,1.0,11.2417,0.0
0,2.2959086584205517,40.0,80.0,30.425,1.0,9.475,0.0
0,2.0,27.0,54.0,65.0,1.0,21.0,0.0
0,2.2959086584205517,64.71582346609257,60.02368137782562,25.6874,0.0,7.8958,0.0
1,2.0,3.0,6.0,126.7376,0.5134099616858238,41.5792,2.0
1,3.0,19.0,38.0,25.6376,0.0,7.8792,0.0
0,3.0,64.71582346609257,60.02368137782562,26.15,0.5134099616858238,8.05,0.0
0,3.0,64.71582346609257,60.02368137782562,48.5,1.0,15.5,0.0
0,3.0,64.71582346609257,60.02368137782562,67.0376,2.0,21.6792,0.0
0,3.0,218.0,36.0,55.400000000000006,1.0,17.8,0.0
0,3.0,7.0,14.0,121.0625,4.0,32.11631225868726,1.0
0,3.0,31.0,42.0,25.4,0.0,7.8,0.0
